[2024-07-08 21:28:05] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:38:13] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 21:38:18] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:38:19] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 21:41:20] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:45:54] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:46:25] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 21:46:28] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:46:30] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 21:46:31] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:46:33] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 21:46:45] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:47:47] IP: 127.0.0.1 | Utilisateur: Invité | Action: Réservation créée pour la séance ID: 29
[2024-07-08 21:53:37] IP: 127.0.0.1 | Utilisateur: admin | Action: Accès au système par l'agent administrateur admin
[2024-07-08 22:27:23] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 2
[2024-07-08 22:27:43] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 22:27:53] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 22:27:57] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 22:28:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 22:28:12] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 22:28:39] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 22:28:42] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 22:33:33] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 22:42:54] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 22:43:14] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 22:43:20] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 22:43:22] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 22:43:25] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 22:45:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 22:46:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 22:46:14] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 22:46:16] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 11
[2024-07-08 22:46:19] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
